,,HCPCS_Cd,HCPCS_Desc,HCPCS_Drug_Ind,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt
2018,95,60240,Removal of thyroid,N,F,16,16,16,3612,853.255625,679.83
2018,96,60240,Removal of thyroid,N,F,15,15,15,3870.45,925.86,718.23466667
2018,97,60240,Removal of thyroid,N,F,11,11,11,2616,815.62909091,649.43090909
2018,98,60240,Removal of thyroid,N,F,11,11,11,4238,909.28090909,724.46818182
2018,99,60240,Removal of thyroid,N,F,62,62,62,2102.516129,577.83870968,460.39112903
2018,100,60240,Removal of thyroid,N,F,13,13,13,5278.5961538,908.80461538,712.87307692
2018,101,60240,Removal of thyroid,N,F,17,17,17,2861,838.9,668.39352941
2018,102,60240,Removal of thyroid,N,F,17,17,17,1874,840.04588235,669.30294118
2018,103,60240,Removal of thyroid,N,F,16,16,16,13152.3125,2047.86,1631.63
2018,104,60240,Removal of thyroid,N,F,14,14,14,6399,1782.7128571,1409.9557143
2018,105,60240,Removal of thyroid,N,F,24,24,24,2496.375,118.1625,94.149583333
2018,106,60240,Removal of thyroid,N,F,11,11,11,9500.15,1907.4109091,1519.7227273
2018,107,60240,Removal of thyroid,N,F,15,15,15,2943,848.162,668.06866667
2017,0,60240,Removal of thyroid,N,F,16,16,16,630.6,134.8,107.4
2017,1,60240,Removal of thyroid,N,F,12,12,12,5538.9633333,838.5375,658.03
2017,2,60240,Removal of thyroid,N,F,16,16,16,1935,916.086875,728.080625
2017,3,60240,Removal of thyroid,N,F,11,11,11,2365,855.79,681.85
2017,4,60240,Removal of thyroid,N,F,33,33,33,2729.6,818.96030303,651.35757576
2017,5,60240,Removal of thyroid,N,F,15,15,15,3449,939.06533333,752.49533333
2017,6,60240,Removal of thyroid,N,F,19,19,19,2500,121.58,96.87
2017,7,60240,Removal of thyroid,N,F,23,23,23,2215.4782609,816.66652174,647.98826087
2017,8,60240,Removal of thyroid,N,F,35,35,35,7915,921.46542857,727.14542857
2017,9,60240,Removal of thyroid,N,F,13,13,13,2694,733.28846154,573.03307692
2017,10,60240,Removal of thyroid,N,F,11,11,11,2614.4990909,865.12818182,689.28909091
2017,11,60240,Removal of thyroid,N,F,13,13,13,1965.6153846,671.72846154,533.27461538
2017,12,60240,Removal of thyroid,N,F,19,19,19,2697,762.35947368,607.40842105
2017,13,60240,Removal of thyroid,N,F,13,13,13,10000,1044.9415385,826.38384615
2017,14,60240,Removal of thyroid,N,F,12,12,12,2500,828.41,653.575
2017,15,60240,Removal of thyroid,N,F,23,23,23,1911,108.12782609,86.623478261
2017,16,60240,Removal of thyroid,N,F,12,12,12,3212,886.93916667,689.29583333
2017,17,60240,Removal of thyroid,N,F,13,13,13,2694,857.20153846,685.35230769
2017,18,60240,Removal of thyroid,N,F,17,17,17,1800,810.94588235,639.13941176
2017,19,60240,Removal of thyroid,N,F,13,13,13,4890,852.74692308,679.42076923
2017,20,60240,Removal of thyroid,N,F,21,21,21,4300,846.43428571,668.72857143
2017,21,60240,Removal of thyroid,N,F,11,11,11,2454.8181818,287.72181818,227.92636364
2017,22,60240,Removal of thyroid,N,F,15,15,15,3022.3333333,987.21866667,779.65466667
2017,23,60240,Removal of thyroid,N,F,13,13,13,3076,888.52076923,716.36615385
2017,24,60240,Removal of thyroid,N,F,18,18,18,1540,989.40333333,784.17333333
2017,25,60240,Removal of thyroid,N,F,12,12,12,1554.6666667,304.59666667,233.3
2017,26,60240,Removal of thyroid,N,F,11,11,11,6982,826.21181818,657.98181818
2017,27,60240,Removal of thyroid,N,F,25,25,25,6000,1065.0088,842.0368
2017,28,60240,Removal of thyroid,N,F,17,17,17,2880,887.21470588,706.88882353
2017,29,60240,Removal of thyroid,N,F,18,18,18,3527,884.55444444,696.66666667
2017,30,60240,Removal of thyroid,N,F,13,13,13,2707.3846154,869.37538462,686.07307692
2017,31,60240,Removal of thyroid,N,F,27,27,27,1910,780.17074074,624.08518519
2017,32,60240,Removal of thyroid,N,F,11,12,11,3130.4,762.46666667,607.495
2017,33,60240,Removal of thyroid,N,F,16,16,16,4060.1875,901.034375,695.70625
2017,34,60240,Removal of thyroid,N,F,11,11,11,2591.2727273,848.39,675.95181818
2017,35,60240,Removal of thyroid,N,F,18,18,18,3184.3333333,559.45888889,441.45166667
2017,36,60240,Removal of thyroid,N,F,13,13,13,2711,669.27,533.23846154
2017,37,60240,Removal of thyroid,N,O,14,14,14,1696.0285714,751.91214286,591.16357143
2017,38,60240,Removal of thyroid,N,F,17,17,17,4764.7058824,958.79647059,763.91647059
2017,39,60240,Removal of thyroid,N,F,11,11,11,3988,937.48,727.54818182
2017,40,60240,Removal of thyroid,N,F,12,12,12,2173,820.1325,653.44
2017,41,60240,Removal of thyroid,N,F,11,11,11,6982,786.86272727,626.93545455
2017,42,60240,Removal of thyroid,N,O,15,15,15,2527,856.54466667,682.448
2017,43,60240,Removal of thyroid,N,F,15,15,15,3999,886.15333333,706.044
2017,44,60240,Removal of thyroid,N,F,16,16,16,4500,117.47,93.5925
2017,45,60240,Removal of thyroid,N,F,13,13,13,2562,828.88,648.87
2017,46,60240,Removal of thyroid,N,F,19,19,19,2052.72,956.97263158,759.36421053
2017,47,60240,Removal of thyroid,N,F,11,11,11,2400,786.50636364,626.64727273
2017,48,60240,Removal of thyroid,N,F,13,13,13,1880,851.10692308,666.90230769
2017,49,60240,Removal of thyroid,N,F,12,12,12,2394.04,804.17,638.07
2017,50,60240,Removal of thyroid,N,F,17,17,17,352.94117647,115.54882353,92.060588235
2017,51,60240,Removal of thyroid,N,F,29,29,29,2108.5862069,899.42931034,706.94103448
2017,52,60240,Removal of thyroid,N,F,16,16,16,2845,937.273125,737.653125
2017,53,60240,Removal of thyroid,N,F,32,32,32,545.98,113.108125,86.908125
2017,54,60240,Removal of thyroid,N,F,13,13,13,2514.9346154,644.14230769,513.22
2017,55,60240,Removal of thyroid,N,F,11,11,11,4919,755.57909091,600.85090909
2017,56,60240,Removal of thyroid,N,F,11,11,11,3821,711.84727273,572.62363636
2017,57,60240,Removal of thyroid,N,F,11,11,11,3528.4090909,890.69727273,698.36454545
2017,58,60240,Removal of thyroid,N,F,24,24,24,3200,794.36,626.83083333
2017,59,60240,Removal of thyroid,N,F,20,20,20,2306,809.18,647.454
2017,60,60240,Removal of thyroid,N,F,15,15,15,2137,789.03533333,614.04933333
2017,61,60240,Removal of thyroid,N,F,20,20,20,2230,680.4935,534.8925
2017,62,60240,Removal of thyroid,N,F,12,12,12,2662,841.31166667,669.31666667
2017,63,60240,Removal of thyroid,N,F,11,11,11,5946,928.88727273,733.43
2017,64,60240,Removal of thyroid,N,F,11,11,11,4043,738.19,596.00636364
2017,65,60240,Removal of thyroid,N,F,13,13,13,2308,1050.29,836.82
2017,66,60240,Removal of thyroid,N,F,15,15,15,3041,1057.3113333,841.45266667
2017,67,60240,Removal of thyroid,N,F,11,11,11,3071,831.39909091,649.16363636
2017,68,60240,Removal of thyroid,N,F,17,17,17,2711,756.04,577.78705882
2017,69,60240,Removal of thyroid,N,F,11,11,11,2906.5909091,773.60454545,589.85727273
2017,70,60240,Removal of thyroid,N,F,23,23,23,2711,732.12956522,579.31086957
2017,71,60240,Removal of thyroid,N,F,13,13,13,2180,848.37923077,679.37307692
2017,72,60240,Removal of thyroid,N,F,11,11,11,2928,864.95363636,689.15363636
2017,73,60240,Removal of thyroid,N,F,12,12,12,3000,916.915,720.355
2017,74,60240,Removal of thyroid,N,F,11,11,11,3600,894.51,712.7
2017,75,60240,Removal of thyroid,N,F,14,14,14,2874,842.71857143,672.16785714
2017,76,60240,Removal of thyroid,N,F,27,27,27,2434.5,910.18296296,717.93259259
2017,77,60240,Removal of thyroid,N,F,20,20,20,3041,945.262,753.138
2017,78,60240,Removal of thyroid,N,F,11,11,11,321.2,120.58,96.07
2017,79,60240,Removal of thyroid,N,F,12,12,12,2100,813.18583333,639.07583333
2017,80,60240,Removal of thyroid,N,F,14,14,14,1067.7092857,883.19357143,698.86714286
2017,81,60240,Removal of thyroid,N,F,29,29,29,2500,847.27586207,672.27586207
2017,82,60240,Removal of thyroid,N,F,11,11,11,3500,819.94545455,653.29090909
2017,83,60240,Removal of thyroid,N,F,13,13,13,3965,873.96076923,696.32384615
2017,84,60240,Removal of thyroid,N,F,13,13,13,2062.9230769,623.58153846,494.29153846
2017,85,60240,Removal of thyroid,N,F,15,15,15,3050,880.258,691.626
2017,86,60240,Removal of thyroid,N,F,20,20,20,1200,844.241,672.3615
2017,87,60240,Removal of thyroid,N,F,14,14,14,2795,875.07928571,694.33357143
2017,88,60240,Removal of thyroid,N,F,15,15,15,4205,983.02,783.22
2017,89,60240,Removal of thyroid,N,F,13,13,13,974,130.14,103.69
2017,90,60240,Removal of thyroid,N,F,11,11,11,2000,914.86545455,728.92
2017,91,60240,Removal of thyroid,N,F,33,33,33,1400,896.17636364,698.14393939
2017,92,60240,Removal of thyroid,N,F,12,12,12,6136.875,866.39,690.295
2017,93,60240,Removal of thyroid,N,F,22,22,22,4252.7840909,962.79727273,757.86181818
2017,94,60240,Removal of thyroid,N,O,13,13,13,1263.5,115.87538462,92.326923077
2017,95,60240,Removal of thyroid,N,O,13,13,13,842.07692308,104.35384615,83.555384615
2017,96,60240,Removal of thyroid,N,F,14,14,14,4238,844.38285714,659.39285714
2017,97,60240,Removal of thyroid,N,F,15,15,15,1981.4833333,891.98133333,695.80933333
2017,98,60240,Removal of thyroid,N,F,11,11,11,3450,927.16363636,738.71727273
2017,99,60240,Removal of thyroid,N,F,13,13,13,1753,555.20461538,442.35538462
2017,100,60240,Removal of thyroid,N,F,24,24,24,1908,697.74958333,555.93125
2017,101,60240,Removal of thyroid,N,F,22,22,22,5339,889.71909091,708.88454545
2017,102,60240,Removal of thyroid,N,F,17,17,17,2861,835.64705882,673.25058824
2017,103,60240,Removal of thyroid,N,F,13,13,13,1874,869.82846154,688.11461538
2017,104,60240,Removal of thyroid,N,F,19,19,19,12255,1996.86,1590.99
2017,105,60240,Removal of thyroid,N,F,12,12,12,4974,1012.69,806.86
2017,106,60240,Removal of thyroid,N,F,19,19,19,2302.9078947,780.75578947,619.30842105
2017,107,60240,Removal of thyroid,N,F,15,15,15,2992.0666667,910.41,725.37
2016,0,60240,Removal of thyroid,N,F,19,19,19,2527,848.59578947,676.11789474
2016,1,60240,Removal of thyroid,N,F,31,31,31,618.2,134.16806452,107.23580645
2016,2,60240,Removal of thyroid,N,F,16,16,16,1736,442.355625,352.44375
2016,3,60240,Removal of thyroid,N,F,18,18,18,4892.0138889,815.86555556,642.69
2016,4,60240,Removal of thyroid,N,F,14,14,14,4000,941.18,749.88
2016,5,60240,Removal of thyroid,N,F,19,19,19,1935,914.64,728.74
2016,6,60240,Removal of thyroid,N,F,11,11,11,5339,829.02818182,660.52727273
2016,7,60240,Removal of thyroid,N,F,17,17,17,698.52941176,122.06176471,97.253529412
2016,8,60240,Removal of thyroid,N,F,33,33,33,2729.8181818,823.51515152,658.68848485
2016,9,60240,Removal of thyroid,N,F,13,13,13,2098.8346154,380.14,302.87461538
